BookID,title,ean_isbn13,upc_isbn10,description,publisher,publish_date
1,The Last Wish: Introducing The Witcher,9780316029186.0,316029181,Geralt of Rivia is a witcher. A cunning sorcerer. A merciless assassin. And a cold-blooded killer.His sole purpose: to destroy the monsters that plague the world. But not everything monstrous-looking is evil and not everything fair is good. . . and in every fairy tale there is a grain of truth. The international hit that inspired the video game: The Witcher.,Orbit,2008-05-01
2,American Gods,9780062080233.0,62080237,"Since it was first published, American Gods became an instant classic. Now discover the mystery and magic of American Gods in this tenth anniversary edition. Newly updated and expanded with the author's preferred text, this commemorative volume is a true celebration of a modern masterpiece by the one, the only, Neil Gaiman. Locked behind bars for three years, Shadow did his time, quietly waiting for the magic day when he could return to Eagle Point, Indiana. A man no longer scared of what tomorrow might bring, all he wanted was to be with Laura, the wife he deeply loved, and start a new life. But just days before his release, Laura and Shadow's best friend are killed in an accident. With his life in pieces and nothing to keep him tethered, Shadow accepts a job from a beguiling stranger he meets on the way home, an enigmatic man who calls himself Mr. Wednesday. A trickster and a rogue, Wednesday seems to know more about Shadow than Shadow does himself. Life as Wednesday's bodyguard, driver, and errand boy is far more interesting and dangerous than Shadow ever imaginedit is a job that takes him on a dark and strange road trip and introduces him to a host of eccentric characters whose fates are mysteriously intertwined with his own.",William Morrow Paperbacks,2013-02-05
3,Fight Club: A Novel,9780393327342.0,393327345,"The first rule about fight club is you don't  talk about fight club.Chuck Palahniuk's outrageous and startling debut novel that exploded American literature and spawned a movement. Every weekend, in the basements and parking lots of bars across the country, young men with white-collar jobs and failed lives take off their shoes and shirts and fight each other barehanded just as long as they have to. Then they go back to those jobs with blackened eyes and loosened teeth and the sense that they can handle anything. Fight club is the invention of Tyler Durden, projectionist, waiter, and dark, anarchic genius, and it's only the beginning of his plans for violent revenge on an empty consumer-culture world.",W. W. Norton,2005-10-03
4,Under the Tuscan Sun: At Home in Italy,9780767916066.0,767916069,"Now in paperback, the #1 San Francisco Chronicle bestseller that is an enchanting and lyrical look at the life, the traditions, and the cuisine of Tuscany, in the spirit of Peter Mayle&#039;s A Year in Provence.Frances Mayes entered a wondrous new world when she began restoring an abandoned villa in the spectacular Tuscan countryside. There were unexpected treasures at every turn: faded frescos beneath the whitewash in her dining room, a vineyard under wildly overgrown brambles in the garden, and, in the nearby hill towns, vibrant markets and delightful people. In Under the Tuscan Sun, she brings the lyrical voice of a poet, the eye of a seasoned traveler, and the discerning palate of a cook and food writer to invite readers to explore the pleasures of Italian life and to feast at her table.",Broadway,2003-08-26
5,The Magicians: A Novel,9780452296299.0,452296293,"The New York Times bestselling novel about a young man practicing magic in the real world Like everyone else, precocious high school senior Quentin Coldwater assumes that magic isn't real, until he finds himself admitted to a very secretive and exclusive college of magic in upstate New York. There he indulges in joys of college-friendship, love, sex, and booze- and receives a rigorous education in modern sorcery. But magic doesn't bring the happiness and adventure Quentin thought it would. After graduation, he and his friends stumble upon a secret that sets them on a remarkable journey that may just fulfill Quentin's yearning. But their journey turns out to be darker and more dangerous than they'd imagined. Psychologically piercing and dazzlingly inventive, The Magicians, the prequel to the New York Times bestselling book The Magician King, is an enthralling coming-of-age tale about magic practiced in the real world-where good and evil aren't black and white, and power comes at a terrible price.",Plume,2010-05-25
6,Come with Me,9781789097375.0,1789097371,"A masterful, heart-palpitating novel of small-town horror and psychological dread from a Bram Stoker nominee. ""Malfi is a modern-day Algernon Blackwood... I'm gonna be talking about this book for years""JOSH MALERMAN, author of Bird BoxAaron Decker's life changes one December morning when his wife Allison is killed. Haunted by her absence--and her ghost--Aaron goes through her belongings, where he finds a receipt for a motel room in another part of the country. Piloted by grief and an increasing sense of curiosity, Aaron embarks on a journey to discover what Allison had been doing in the weeks prior to her death.Yet Aaron is unprepared to discover the dark secrets Allison kept, the death and horror that make up the tapestry of her hidden life. And with each dark secret revealed, Aaron becomes more and more consumed by his obsession to learn the terrifying truth about the woman who had been his wife, even if it puts his own life at risk.",Titan Books Limited,2021-07-20
7,Isola,9780593730089.0,593730089,"REESES BOOK CLUB PICK  A shocking story, made all the more stunning by the fact that it has its roots in true history.Jodi Picoult, author of By Any Other Name A new generation of survival story . . . an extraordinary book that reads like a thriller, written with the care of the most delicate psychological and historical fiction.Vogue (Best of 2025 Preview) A young woman and her lover are marooned on an island in this lushly painted (People) historical epic of love, faith, and defiance from the bestselling author of Sam. Heir to a fortune, Marguerite is destined for a life of prosperity and gentility. Then she is orphaned, and her guardianan enigmatic and volatile manspends her inheritance and insists she accompany him on an expedition to New France. That journey takes a unexpected turn when Marguerite, accused of betrayal, is brutally punished and abandoned on a small island. Once a child of privilege who dressed in gowns and laced pearls in her hair, Marguerite finds herself at the mercy of nature. As the weather turns, blanketing the island in ice, she discovers a faith shed never before needed. Inspired by the real life of a sixteenth-century heroine, Isola is the timeless story of a woman fighting for survival.",Dial Press,2025-01-21
8,Shadow Life,9781626723566.0,1626723567,"When Kumiko's well-meaning adult daughters place her in an assisted living home the seventy-six-year-old widow gives it a try, but it's not where she wants to be. She goes on the lam and finds a cozy bachelor apartment, keeping the location secret even while communicating online with her eldest daughter. Kumiko revels in the small, daily pleasures: decorating as she pleases, eating what she wants, and swimming in the community pool. But something has followed her from her former residence--Death's shadow.Kumiko's sweet life is shattered when Death's shadow swoops in to collect her. With her quick mind and sense of humour, Kumiko, with the help of friends new and old, is prepared for the fight of her life. But how long can an old woman thwart fate?",Roaring Brook Press,2021-03-30
9,"Sing, Unburied, Sing: A Novel",9781501126062.0,1501126067,"A searing and profound Southern odyssey by National Book Award winner Jesmyn Ward.In Jesmyn Wards first novel since her National Book Awardwinning Salvage the Bones, this singular American writer brings the archetypal road novel into rural twenty-first-century America. Drawing on Morrison and Faulkner, The Odyssey and the Old Testament, Ward gives us an epochal story, a journey through Mississippis past and present that is both an intimate portrait of a family and an epic tale of hope and struggle. Ward is a major American writer, multiply awarded and universally lauded, and in Sing, Unburied, Sing she is at the height of her powers. Jojo and his toddler sister, Kayla, live with their grandparents, Mam and Pop, and the occasional presence of their drug-addicted mother, Leonie, on a farm on the Gulf Coast of Mississippi. Leonie is simultaneously tormented and comforted by visions of her dead brother, which only come to her when shes high; Mam is dying of cancer; and quiet, steady Pop tries to run the household and teach Jojo how to be a man. When the white father of Leonies children is released from prison, she packs her kids and a friend into her car and sets out across the state for Parchman farm, the Mississippi State Penitentiary, on a journey rife with danger and promise. Sing, Unburied, Sing grapples with the ugly truths at the heart of the American story and the power, and limitations, of the bonds of family. Rich with Wards distinctive, musical language, Sing, Unburied, Sing is a majestic new work and an essential contribution to American literature.",Scribner,2017-09-05
10,The Ballad of Perilous Graves,9780759557208.0,759557209,"""Funny, wild, witty, and profound.""Victor LaValle ""A wild and wonderful debut, teeming with music, family and art.""--New York Times ""Magical, lyrical, gritty, otherworldly...hype like Bayou Classic in the 90s.""--P. Djl Clark One of the Best Fantasy Books of 2022: New York Times; Oprah Daily; Vulture; Gizmodo; Boston Public Library A fun and fantastical love letter to New Orleans unfolds when a battle for the city's soul brews between two young mages, a vengeful wraith, and one powerful song in this wildly imaginative debut. Nola is a city full of wonders. A place of sky trolleys and dead cabs, where haints dance the night away and Wise Women help keep the order. To those from Away, Nola might seem strange. To Perilous Graves, it's simply home. Perry knows Nola's rhythm as intimately as his own heartbeat. So when the city's Great Magician starts appearing in odd places and essential songs are forgotten, Perry knows trouble is afoot. Nine songs of power have escaped from the piano that maintains the city's beat, and without them, Nola will fail. Unwilling to watch his home be destroyed, Perry will sacrifice everything to save it. But a storm is brewing, and the Haint of All Haints is awake. Nola's time might be coming to an end.",Orbit,2023-01-17
